PROJECT_ID,PROJECT_NAME,FINAL_CLOSEOUT_ID,FAMILY
P01,ASTER/ESTER,051,ESTER
P02,ONE LIFE/IARA,050,ONE LIFE
P03,MODELPERSON,053,ESTER
P04,MINECRAFTLAB,052,ESTER
P05,ELIOT,058,CHARACTERS
P06,ELOWA,059,CHARACTERS
P07,EMOJILIFE,060,EXPERIMENTS
P08,FORGOTTEN COMPANIONS,061,EXPERIMENTS
P09,BEYOND POWERS,062,GAMES
P10,AI GAME BATTLE,064,GAMES
P11,PAVI EMS P0,042,PAVI EMS
P12,PAVI EMS P1,045,PAVI EMS
P13,E3,057,E3
P14,AIRENGINE,066,ENGINE MECHANICAL
P15,ROTARY/WANKEL/GEROTOR,066,ENGINE MECHANICAL
P16,PROJETO ENGINE,066,ENGINE MECHANICAL
P17,ENGINE LAB,066,ENGINE MECHANICAL
P18,FT300-X,065,PAVI/ECU
P19,PAVI EMS P0.5X,067,PAVI EMS
P20,ARQUIVO INACABADO,068,ARCHIVE
