PACK_ENTITY_ID,PROJECT_NAME,SOURCE_ARCHAEOLOGIES,FINAL_CLOSEOUT_ID,CLASSIFICATION,CANONICAL_OWNER,COUNT_AS_CANONICAL,DEDICATED_PAGE,EVIDENCE
ester,ASTER/ESTER,001;051,051,EXACT_CANONICAL_MATCH,ester,YES,YES,069 Master Project Index P01
one-life-iara,ONE LIFE/IARA,002;050,050,EXACT_CANONICAL_MATCH,one-life-iara,YES,YES,069 Master Project Index P02
modelperson,MODELPERSON,003;053,053,EXACT_CANONICAL_MATCH,modelperson,YES,YES,069 Master Project Index P03
minecraftlab,MINECRAFTLAB,004;052,052,EXACT_CANONICAL_MATCH,minecraftlab,YES,YES,069 Master Project Index P04
eliot,ELIOT,005;058,058,EXACT_CANONICAL_MATCH,eliot,YES,YES,069 Master Project Index P05
elowa,ELOWA,006;059,059,EXACT_CANONICAL_MATCH,elowa,YES,YES,069 Master Project Index P06
emojilife,EMOJILIFE,060,060,EXACT_CANONICAL_MATCH,emojilife,YES,YES,069 Master Project Index P07
forgotten-companions,FORGOTTEN COMPANIONS,061,061,EXACT_CANONICAL_MATCH,forgotten-companions,YES,YES,069 Master Project Index P08
beyond-powers,BEYOND POWERS,009;062,062,EXACT_CANONICAL_MATCH,beyond-powers,YES,YES,069 Master Project Index P09
ai-game-battle,AI GAME BATTLE,010;064,064,EXACT_CANONICAL_MATCH,ai-game-battle,YES,YES,069 Master Project Index P10
pavi-ems-p0,PAVI EMS P0,011;042,042,EXACT_CANONICAL_MATCH,pavi-ems-p0,YES,YES,069 Master Project Index P11
pavi-ems-p1,PAVI EMS P1,013;045,045,EXACT_CANONICAL_MATCH,pavi-ems-p1,YES,YES,069 Master Project Index P12
e3,E3,014;057,057,EXACT_CANONICAL_MATCH,e3,YES,YES,069 Master Project Index P13
airengine,AIRENGINE,015,066,EXACT_CANONICAL_MATCH,airengine,YES,YES,069 Master Project Index P14
rotary-019,ROTARY/WANKEL/GEROTOR,019,066,EXACT_CANONICAL_MATCH,rotary-019,YES,YES,069 Master Project Index P15
projeto-engine,PROJETO ENGINE,020,066,EXACT_CANONICAL_MATCH,projeto-engine,YES,YES,069 Master Project Index P16
engine-lab,ENGINE LAB,021,066,EXACT_CANONICAL_MATCH,engine-lab,YES,YES,069 Master Project Index P17
ft300x,FT300-X,016;065,065,EXACT_CANONICAL_MATCH,ft300x,YES,YES,069 Master Project Index P18
pavi-ems-p05x,PAVI EMS P0.5X,025;067,067,EXACT_CANONICAL_MATCH,pavi-ems-p05x,YES,YES,069 Master Project Index P19
arquivo-inacabado,ARQUIVO INACABADO,026;068,068,EXACT_CANONICAL_MATCH,arquivo-inacabado,YES,YES,069 Master Project Index P20
beyond-racing-3d,Beyond Racing 3D,017;063,063,ARCHAEOLOGICALLY_COVERED_NONCANONICAL_ENTITY,UNRESOLVED,NO,YES,063 closeout present in 069 coverage but no 069 master-index row
